"timeid","DFG_year","var","nitrogen","appl","TT","trait","group","g","trt","part","BBCH","Trait","Das","Acc_Radiation","namCombine"
"Early","DFG2021","Alves",176,"Combined",1417.54166666667,"LAI","2021-05-31","Combined_176_Early","Combined 176",NA,"41",4.055,221,466746.7,"LAI_41"
"Early","DFG2021","Alves",176,"Combined",1417.54166666667,"LI","2021-05-31","Combined_176_Early","Combined 176",NA,"41",0.874084571778765,221,466746.7,"LI_41"
"Early","DFG2021","Alves",176,"Combined",1417.54166666667,"tiller","2021-05-31","Combined_176_Early","Combined 176","biomasscut","41",4.44999997775,221,466746.7,"tiller_41"
"Early","DFG2021","Alves",176,"Combined",1435.45,"GBD","2021-06-01","Combined_176_Early","Combined 176",NA,NA,100,222,474493.7,"GBD"
"Early","DFG2021","Alves",176,"Combined",1435.45,"LAI","2021-06-01","Combined_176_Early","Combined 176",NA,NA,4.3,222,474493.7,"LAI"
"Early","DFG2021","Alves",176,"Combined",1435.45,"LI","2021-06-01","Combined_176_Early","Combined 176",NA,NA,0.900975342637314,222,474493.7,"LI"
"Early","DFG2021","Alves",176,"Combined",1454.83333333333,"SPAD","2021-06-02","Combined_176_Early","Combined 176",NA,NA,48.4666666666667,223,481635.9,"SPAD"
"Early","DFG2021","Alves",176,"Combined",1548.1125,"GBD","2021-06-07","Combined_176_Early","Combined 176",NA,NA,98.3333333333333,228,503132.8,"GBD"
"Early","DFG2021","Alves",176,"Combined",1548.1125,"LAI","2021-06-07","Combined_176_Early","Combined 176",NA,NA,4.035,228,503132.8,"LAI"
"Early","DFG2021","Alves",176,"Combined",1548.1125,"LI","2021-06-07","Combined_176_Early","Combined 176",NA,NA,0.900576761392096,228,503132.8,"LI"
"Early","DFG2021","Alves",176,"Combined",1566.5875,"biomass","2021-06-08","Combined_176_Early","Combined 176","biomass_sum","51",7.796999961015,229,508806.8,"biomass_sum_biomass51"
"Early","DFG2021","Alves",176,"Combined",1566.5875,"biomass","2021-06-08","Combined_176_Early","Combined 176","ear","51",1.2454999937725,229,508806.8,"ear_biomass51"
"Early","DFG2021","Alves",176,"Combined",1566.5875,"biomass","2021-06-08","Combined_176_Early","Combined 176","straw","51",6.5514999672425,229,508806.8,"straw_biomass51"
"Early","DFG2021","Alves",176,"Combined",1566.5875,"Height","2021-06-08","Combined_176_Early","Combined 176",NA,"51",74.3333333333333,229,508806.8,"Height_51"
"Early","DFG2021","Alves",176,"Combined",1566.5875,"LAI","2021-06-08","Combined_176_Early","Combined 176",NA,"51",4.4,229,508806.8,"LAI_51"
"Early","DFG2021","Alves",176,"Combined",1566.5875,"LI","2021-06-08","Combined_176_Early","Combined 176",NA,"51",0.932677341381286,229,508806.8,"LI_51"
"Early","DFG2021","Alves",176,"Combined",1566.5875,"spike_number","2021-06-08","Combined_176_Early","Combined 176",NA,"51",3.99999998,229,508806.8,"spike_number_51"
"Early","DFG2021","Alves",176,"Combined",1566.5875,"tiller","2021-06-08","Combined_176_Early","Combined 176","biomasscut","51",5.0999999745,229,508806.8,"tiller_51"
"Early","DFG2021","Alves",176,"Combined",1586.925,"SPAD","2021-06-09","Combined_176_Early","Combined 176",NA,NA,49.5,230,514822.9,"SPAD"
"Early","DFG2021","Alves",176,"Combined",1679.35416666667,"GBD","2021-06-14","Combined_176_Early","Combined 176",NA,NA,100,235,549521.1,"GBD"
"Early","DFG2021","Alves",176,"Combined",1679.35416666667,"LI","2021-06-14","Combined_176_Early","Combined 176",NA,NA,0.895027540640082,235,549521.1,"LI"
"Early","DFG2021","Alves",176,"Combined",1697.2125,"biomass","2021-06-15","Combined_176_Early","Combined 176","biomass_sum","61",10.4074999479625,236,556085,"biomass_sum_biomass61"
"Early","DFG2021","Alves",176,"Combined",1697.2125,"biomass","2021-06-15","Combined_176_Early","Combined 176","ear","61",2.07599998962,236,556085,"ear_biomass61"
"Early","DFG2021","Alves",176,"Combined",1697.2125,"biomass","2021-06-15","Combined_176_Early","Combined 176","straw","61",8.3314999583425,236,556085,"straw_biomass61"
"Early","DFG2021","Alves",176,"Combined",1697.2125,"Height","2021-06-15","Combined_176_Early","Combined 176",NA,"61",84,236,556085,"Height_61"
"Early","DFG2021","Alves",176,"Combined",1697.2125,"LAI","2021-06-15","Combined_176_Early","Combined 176",NA,"61",4.285,236,556085,"LAI_61"
"Early","DFG2021","Alves",176,"Combined",1697.2125,"LI","2021-06-15","Combined_176_Early","Combined 176",NA,"61",0.922010943710685,236,556085,"LI_61"
"Early","DFG2021","Alves",176,"Combined",1697.2125,"spike_number","2021-06-15","Combined_176_Early","Combined 176",NA,"61",4.799999976,236,556085,"spike_number_61"
"Early","DFG2021","Alves",176,"Combined",1697.2125,"tiller","2021-06-15","Combined_176_Early","Combined 176","biomasscut","61",5.04999997475,236,556085,"tiller_61"
"Early","DFG2021","Alves",176,"Combined",1718.225,"LAI","2021-06-16","Combined_176_Early","Combined 176",NA,NA,4.76,237,563931.3,"LAI"
"Early","DFG2021","Alves",176,"Combined",1718.225,"SPAD","2021-06-16","Combined_176_Early","Combined 176",NA,NA,52.8,237,563931.3,"SPAD"
"Early","DFG2021","Alves",176,"Combined",1837.98333333333,"GBD","2021-06-21","Combined_176_Early","Combined 176",NA,NA,86.6666666666667,242,598151.3,"GBD"
"Early","DFG2021","Alves",176,"Combined",1853.5375,"LAI","2021-06-22","Combined_176_Early","Combined 176",NA,NA,4.3,243,601984.8,"LAI"
"Early","DFG2021","Alves",176,"Combined",1853.5375,"LI","2021-06-22","Combined_176_Early","Combined 176",NA,NA,0.9142718245435,243,601984.8,"LI"
"Early","DFG2021","Alves",176,"Combined",1870.07916666667,"LAI","2021-06-23","Combined_176_Early","Combined 176",NA,NA,4.54,244,606469.5,"LAI"
"Early","DFG2021","Alves",176,"Combined",1870.07916666667,"LI","2021-06-23","Combined_176_Early","Combined 176",NA,NA,0.925370637994489,244,606469.5,"LI"
"Early","DFG2021","Alves",176,"Combined",1870.07916666667,"SPAD","2021-06-23","Combined_176_Early","Combined 176",NA,NA,44.2666666666667,244,606469.5,"SPAD"
"Early","DFG2021","Alves",176,"Combined",1967.7125,"GBD","2021-06-28","Combined_176_Early","Combined 176",NA,NA,90,249,634019.9,"GBD"
"Early","DFG2021","Alves",176,"Combined",1967.7125,"LI","2021-06-28","Combined_176_Early","Combined 176",NA,NA,0.908552152262595,249,634019.9,"LI"
"Early","DFG2021","Alves",176,"Combined",1967.7125,"SPAD","2021-06-28","Combined_176_Early","Combined 176",NA,NA,44.8,249,634019.9,"SPAD"
"Early","DFG2021","Alves",176,"Combined",2091.88333333333,"GBD","2021-07-05","Combined_176_Early","Combined 176",NA,NA,81.6666666666667,256,660985.9,"GBD"
"Early","DFG2021","Alves",176,"Combined",2091.88333333333,"LAI","2021-07-05","Combined_176_Early","Combined 176",NA,NA,4.145,256,660985.9,"LAI"
"Early","DFG2021","Alves",176,"Combined",2091.88333333333,"LI","2021-07-05","Combined_176_Early","Combined 176",NA,NA,0.893882744678321,256,660985.9,"LI"
"Early","DFG2021","Alves",176,"Combined",2111.63333333333,"LAI","2021-07-06","Combined_176_Early","Combined 176",NA,NA,3.59,257,664607.4,"LAI"
"Early","DFG2021","Alves",176,"Combined",2111.63333333333,"LI","2021-07-06","Combined_176_Early","Combined 176",NA,NA,0.884101506666354,257,664607.4,"LI"
"Early","DFG2021","Alves",176,"Combined",2130.92916666667,"Height","2021-07-07","Combined_176_Early","Combined 176",NA,"83",86.6666666666667,258,670548.2,"Height_83"
"Early","DFG2021","Alves",176,"Combined",2130.92916666667,"LI","2021-07-07","Combined_176_Early","Combined 176",NA,"83",0.936989680796654,258,670548.2,"LI_83"
"Early","DFG2021","Alves",176,"Combined",2130.92916666667,"SPAD","2021-07-07","Combined_176_Early","Combined 176",NA,"83",32.8666666666667,258,670548.2,"SPAD"
"Early","DFG2021","Alves",176,"Combined",2226.75833333333,"GBD","2021-07-12","Combined_176_Early","Combined 176",NA,NA,55,263,692316.9,"GBD"
"Early","DFG2021","Alves",176,"Combined",2226.75833333333,"LAI","2021-07-12","Combined_176_Early","Combined 176",NA,NA,3.05,263,692316.9,"LAI"
"Early","DFG2021","Alves",176,"Combined",2226.75833333333,"LI","2021-07-12","Combined_176_Early","Combined 176",NA,NA,0.852475936923938,263,692316.9,"LI"
"Early","DFG2021","Alves",176,"Combined",2248.82083333333,"LAI","2021-07-13","Combined_176_Early","Combined 176",NA,NA,3.55,264,696749.8,"LAI"
"Early","DFG2021","Alves",176,"Combined",2248.82083333333,"LI","2021-07-13","Combined_176_Early","Combined 176",NA,NA,0.87844319065854,264,696749.8,"LI"
"Early","DFG2021","Alves",176,"Combined",2248.82083333333,"SPAD","2021-07-13","Combined_176_Early","Combined 176",NA,NA,NA,264,696749.8,"SPAD"
"Early","DFG2021","Alves",176,"Combined",2382.5375,"GBD","2021-07-20","Combined_176_Early","Combined 176",NA,NA,0,271,729652.9,"GBD"
"Early","DFG2021","Alves",176,"Combined",2500.4,"GBD","2021-07-26","Combined_176_Early","Combined 176",NA,NA,0,277,761777.9,"GBD"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"biomass","2021-07-27","Combined_176_Early","Combined 176","biomass_sum","87",15.4014999229925,278,766944.5,"biomass_sum_biomass87"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"biomass","2021-07-27","Combined_176_Early","Combined 176","ear","87",9.1274999543625,278,766944.5,"ear_biomass87"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"biomass","2021-07-27","Combined_176_Early","Combined 176","kernel","87",7.1414999642925,278,766944.5,"kernel_biomass87"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"biomass","2021-07-27","Combined_176_Early","Combined 176","straw","87",6.27399996863,278,766944.5,"straw_biomass87"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"grain_moisture","2021-07-27","Combined_176_Early","Combined 176","plot","87",8.42,278,766944.5,"grain_moisture"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"grain_number","2021-07-27","Combined_176_Early","Combined 176","biomasscut","87",192.822624886585,278,766944.5,"biomasscut_grain_number"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"grain_number","2021-07-27","Combined_176_Early","Combined 176","plot","87",173.443729037722,278,766944.5,"plot_grain_number"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"grain_per_spike","2021-07-27","Combined_176_Early","Combined 176","biomasscut","87",40.317531758819,278,766944.5,"biomasscut_grain_per_spike"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"grain_per_spike","2021-07-27","Combined_176_Early","Combined 176","plot","87",35.8525945107676,278,766944.5,"plot_grain_per_spike"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"HI","2021-07-27","Combined_176_Early","Combined 176",NA,"87",0.465389987817303,278,766944.5,"HI"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"spike_number","2021-07-27","Combined_176_Early","Combined 176",NA,"87",4.84999997575,278,766944.5,"spike_number_87"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"tiller","2021-07-27","Combined_176_Early","Combined 176","biomasscut","87",4.8999999755,278,766944.5,"tiller_87"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"tkw","2021-07-27","Combined_176_Early","Combined 176","biomasscut","87",35.72,278,766944.5,"biomasscut_tkw"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"tkw","2021-07-27","Combined_176_Early","Combined 176","plot","87",36.1933333333333,278,766944.5,"plot_tkw"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"yield","2021-07-27","Combined_176_Early","Combined 176","biomasscut","87",6.884999965575,278,766944.5,"biomasscut_yield"
"Early","DFG2021","Alves",176,"Combined",2520.2375,"yield","2021-07-27","Combined_176_Early","Combined 176","plot","87",6.26427653431373,278,766944.5,"plot_yield"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_dd",NA,"Combined_176_Early","Combined 176","biomass_sum","23_31",0.028797618903631,NA,NA,"CGR_dd_23_31"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_dd",NA,"Combined_176_Early","Combined 176","biomass_sum","31_41",0.0827352937039706,NA,NA,"CGR_dd_31_41"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_dd",NA,"Combined_176_Early","Combined 176","biomass_sum","31_61",0.183683672550969,NA,NA,"CGR_dd_31_61"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_dd",NA,"Combined_176_Early","Combined 176","biomass_sum","41_51",0.447124997764375,NA,NA,"CGR_dd_41_51"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_dd",NA,"Combined_176_Early","Combined 176","biomass_sum","51_61",0.372928569563929,NA,NA,"CGR_dd_51_61"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_dd",NA,"Combined_176_Early","Combined 176","biomass_sum","61_87",0.118904761310238,NA,NA,"CGR_dd_61_87"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_tt",NA,"Combined_176_Early","Combined 176","biomass_sum","23_31",0.00435620383199167,NA,NA,"CGR_tt_23_31"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_tt",NA,"Combined_176_Early","Combined 176","biomass_sum","31_41",0.00719989758365754,NA,NA,"CGR_tt_31_41"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_tt",NA,"Combined_176_Early","Combined 176","biomass_sum","31_61",0.0134261508816601,NA,NA,"CGR_tt_31_61"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_tt",NA,"Combined_176_Early","Combined 176","biomass_sum","41_51",0.0239993289454479,NA,NA,"CGR_tt_41_51"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_tt",NA,"Combined_176_Early","Combined 176","biomass_sum","51_61",0.0199846888952919,NA,NA,"CGR_tt_51_61"
"Early","DFG2021","Alves",176,"Combined",NA,"CGR_tt",NA,"Combined_176_Early","Combined 176","biomass_sum","61_87",0.00606785939069895,NA,NA,"CGR_tt_61_87"
"Early","DFG2021","Alves",176,"Combined",NA,"Delta_biomass",NA,"Combined_176_Early","Combined 176","biomass_sum","23_31",1.2094999939525,NA,NA,"Delta_biomass_23_31"
"Early","DFG2021","Alves",176,"Combined",NA,"Delta_biomass",NA,"Combined_176_Early","Combined 176","biomass_sum","31_41",2.812999985935,NA,NA,"Delta_biomass_31_41"
"Early","DFG2021","Alves",176,"Combined",NA,"Delta_biomass",NA,"Combined_176_Early","Combined 176","biomass_sum","31_61",9.0004999549975,NA,NA,"Delta_biomass_31_61"
"Early","DFG2021","Alves",176,"Combined",NA,"Delta_biomass",NA,"Combined_176_Early","Combined 176","biomass_sum","41_51",3.576999982115,NA,NA,"Delta_biomass_41_51"
"Early","DFG2021","Alves",176,"Combined",NA,"Delta_biomass",NA,"Combined_176_Early","Combined 176","biomass_sum","51_61",2.6104999869475,NA,NA,"Delta_biomass_51_61"
"Early","DFG2021","Alves",176,"Combined",NA,"Delta_biomass",NA,"Combined_176_Early","Combined 176","biomass_sum","61_87",4.99399997503,NA,NA,"Delta_biomass_61_87"
"Early","DFG2021","Alves",176,"Combined",NA,"Delta_ear",NA,"Combined_176_Early","Combined 176","ear","51_61",0.8304999958475,NA,NA,"Delta_ear_51_61"
"Early","DFG2021","Alves",176,"Combined",NA,"Delta_ear",NA,"Combined_176_Early","Combined 176","ear","61_87",7.0514999647425,NA,NA,"Delta_ear_61_87"
"Early","DFG2021","Alves",176,"Combined",NA,"E",NA,"Combined_176_Early","Combined 176",NA,"31_61",34.424585157069,NA,NA,"E"
"Early","DFG2021","Alves",176,"Combined",NA,"EGR_dd",NA,"Combined_176_Early","Combined 176","ear","51_61",0.118642856549643,NA,NA,"EGR_dd_51_61"
"Early","DFG2021","Alves",176,"Combined",NA,"EGR_dd",NA,"Combined_176_Early","Combined 176","ear","61_87",0.167892856303393,NA,NA,"EGR_dd_61_87"
"Early","DFG2021","Alves",176,"Combined",NA,"EGR_tt",NA,"Combined_176_Early","Combined 176","ear","51_61",0.00635789470505263,NA,NA,"EGR_tt_51_61"
"Early","DFG2021","Alves",176,"Combined",NA,"EGR_tt",NA,"Combined_176_Early","Combined 176","ear","61_87",0.00856778343882932,NA,NA,"EGR_tt_61_87"
"Early","DFG2021","Alves",176,"Combined",NA,"FE",NA,"Combined_176_Early","Combined 176",NA,"",83.7878942768762,NA,NA,"FE"
"Early","DFG2021","Alves",176,"Combined",NA,"GCD55",NA,"Combined_176_Early","Combined 176",NA,NA,642.538848539457,NA,NA,"GCD55"
"Early","DFG2021","Alves",176,"Combined",NA,"GCD59",NA,"Combined_176_Early","Combined 176",NA,NA,555.08489233249,NA,NA,"GCD59"
"Early","DFG2021","Alves",176,"Combined",NA,"GCD61",NA,"Combined_176_Early","Combined 176",NA,NA,589.306163916229,NA,NA,"GCD61"
"Early","DFG2021","Alves",176,"Combined",NA,"GLA50",NA,"Combined_176_Early","Combined 176",NA,NA,2221.51310836067,NA,NA,"GLA50"
"Early","DFG2021","Alves",176,"Combined",NA,"gLAI_61",NA,"Combined_176_Early","Combined 176",NA,NA,4.39752899853526,NA,NA,"gLAI_61"
"Early","DFG2021","Alves",176,"Combined",NA,"gLAI_duration",NA,"Combined_176_Early","Combined 176",NA,NA,551.619640067426,NA,NA,"gLAI_duration"
"Early","DFG2021","Alves",176,"Combined",NA,"gLAI_int",NA,"Combined_176_Early","Combined 176",NA,NA,2202.52016412925,NA,NA,"gLAI_int"
"Early","DFG2021","Alves",176,"Combined",NA,"gLAI_int_mean",NA,"Combined_176_Early","Combined 176",NA,NA,3.99282404785303,NA,NA,"gLAI_int_mean"
"Early","DFG2021","Alves",176,"Combined",NA,"gLAI_max",NA,"Combined_176_Early","Combined 176",NA,NA,4.4,NA,NA,"gLAI_max"
"Early","DFG2021","Alves",176,"Combined",NA,"gLI_61",NA,"Combined_176_Early","Combined 176",NA,NA,0.933470356765938,NA,NA,"gLI_61"
"Early","DFG2021","Alves",176,"Combined",NA,"gLI_duration",NA,"Combined_176_Early","Combined 176",NA,NA,580.61995215675,NA,NA,"gLI_duration"
"Early","DFG2021","Alves",176,"Combined",NA,"gLI_int",NA,"Combined_176_Early","Combined 176",NA,NA,495.564124804199,NA,NA,"gLI_int"
"Early","DFG2021","Alves",176,"Combined",NA,"gLI_int_mean",NA,"Combined_176_Early","Combined 176",NA,NA,0.853508603973038,NA,NA,"gLI_int_mean"
"Early","DFG2021","Alves",176,"Combined",NA,"gLI_max",NA,"Combined_176_Early","Combined 176",NA,NA,0.933764988009592,NA,NA,"gLI_max"
"Early","DFG2021","Alves",176,"Combined",NA,"grain_area",NA,"Combined_176_Early","Combined 176","plot","harvest",15.5333333333333,NA,NA,"grain_area"
"Early","DFG2021","Alves",176,"Combined",NA,"grain_bulk_density",NA,"Combined_176_Early","Combined 176","plot","harvest",76.0333333333333,NA,NA,"grain_bulk_density"
"Early","DFG2021","Alves",176,"Combined",NA,"grain_circularity",NA,"Combined_176_Early","Combined 176","plot","harvest",1.3,NA,NA,"grain_circularity"
"Early","DFG2021","Alves",176,"Combined",NA,"grain_LB_ratio",NA,"Combined_176_Early","Combined 176","plot","harvest",1.8,NA,NA,"grain_LB_ratio"
"Early","DFG2021","Alves",176,"Combined",NA,"grain_length",NA,"Combined_176_Early","Combined 176","plot","harvest",6.06666666666667,NA,NA,"grain_length"
"Early","DFG2021","Alves",176,"Combined",NA,"grain_width",NA,"Combined_176_Early","Combined 176","plot","harvest",3.46666666666667,NA,NA,"grain_width"
"Early","DFG2021","Alves",176,"Combined",NA,"gSPAD_61",NA,"Combined_176_Early","Combined 176",NA,NA,49.1704932307269,NA,NA,"gSPAD_61"
"Early","DFG2021","Alves",176,"Combined",NA,"gSPAD_duration",NA,"Combined_176_Early","Combined 176",NA,NA,576.972470724367,NA,NA,"gSPAD_duration"
"Early","DFG2021","Alves",176,"Combined",NA,"gSPAD_int",NA,"Combined_176_Early","Combined 176",NA,NA,24643.2829690944,NA,NA,"gSPAD_int"
"Early","DFG2021","Alves",176,"Combined",NA,"gSPAD_int_mean",NA,"Combined_176_Early","Combined 176",NA,NA,42.7113670400178,NA,NA,"gSPAD_int_mean"
"Early","DFG2021","Alves",176,"Combined",NA,"gSPAD_max",NA,"Combined_176_Early","Combined 176",NA,NA,49.5,NA,NA,"gSPAD_max"
"Early","DFG2021","Alves",176,"Combined",NA,"LAD55",NA,"Combined_176_Early","Combined 176",NA,NA,2775.18803470985,NA,NA,"LAD55"
"Early","DFG2021","Alves",176,"Combined",NA,"LAD59",NA,"Combined_176_Early","Combined 176",NA,NA,2390.41066668583,NA,NA,"LAD59"
"Early","DFG2021","Alves",176,"Combined",NA,"LAD61",NA,"Combined_176_Early","Combined 176",NA,NA,2540.97233735806,NA,NA,"LAD61"
"Early","DFG2021","Alves",176,"Combined",NA,"LAImax55",NA,"Combined_176_Early","Combined 176",NA,NA,4.4,NA,NA,"LAImax55"
"Early","DFG2021","Alves",176,"Combined",NA,"LAImax59",NA,"Combined_176_Early","Combined 176",NA,NA,4.4,NA,NA,"LAImax59"
"Early","DFG2021","Alves",176,"Combined",NA,"LAImax61",NA,"Combined_176_Early","Combined 176",NA,NA,4.4,NA,NA,"LAImax61"
"Early","DFG2021","Alves",176,"Combined",NA,"LAImaxTT55",NA,"Combined_176_Early","Combined 176",NA,NA,1566.5875,NA,NA,"LAImaxTT55"
"Early","DFG2021","Alves",176,"Combined",NA,"LAImaxTT59",NA,"Combined_176_Early","Combined 176",NA,NA,1566.5875,NA,NA,"LAImaxTT59"
"Early","DFG2021","Alves",176,"Combined",NA,"LAImaxTT61",NA,"Combined_176_Early","Combined 176",NA,NA,1566.5875,NA,NA,"LAImaxTT61"
"Early","DFG2021","Alves",176,"Combined",NA,"RUE",NA,"Combined_176_Early","Combined 176","biomass_sum","61_87",2.36445227938219,NA,NA,"RUE"
"Early","DFG2021","Alves",176,"Combined",NA,"S",NA,"Combined_176_Early","Combined 176",NA,NA,31.7667943498773,NA,NA,"S"
"Early","DFG2021","Alves",176,"Combined",NA,"S00_09",NA,"Combined_176_Early","Combined 176",NA,NA,166,NA,NA,"S00_09"
"Early","DFG2021","Alves",176,"Combined",NA,"S09_13",NA,"Combined_176_Early","Combined 176",NA,NA,359,NA,NA,"S09_13"
"Early","DFG2021","Alves",176,"Combined",NA,"S13_23",NA,"Combined_176_Early","Combined 176",NA,NA,248,NA,NA,"S13_23"
"Early","DFG2021","Alves",176,"Combined",NA,"S23_31",NA,"Combined_176_Early","Combined 176",NA,NA,287,NA,NA,"S23_31"
"Early","DFG2021","Alves",176,"Combined",NA,"S31_41",NA,"Combined_176_Early","Combined 176",NA,NA,336,NA,NA,"S31_41"
"Early","DFG2021","Alves",176,"Combined",NA,"S31_61",NA,"Combined_176_Early","Combined 176",NA,NA,575,NA,NA,"S31_61"
"Early","DFG2021","Alves",176,"Combined",NA,"S41_51",NA,"Combined_176_Early","Combined 176",NA,NA,140,NA,NA,"S41_51"
"Early","DFG2021","Alves",176,"Combined",NA,"S51_61",NA,"Combined_176_Early","Combined 176",NA,NA,94,NA,NA,"S51_61"
"Early","DFG2021","Alves",176,"Combined",NA,"S61_71",NA,"Combined_176_Early","Combined 176",NA,NA,145,NA,NA,"S61_71"
"Early","DFG2021","Alves",176,"Combined",NA,"S61_87",NA,"Combined_176_Early","Combined 176",NA,NA,702,NA,NA,"S61_87"
"Early","DFG2021","Alves",176,"Combined",NA,"S71_77",NA,"Combined_176_Early","Combined 176",NA,NA,154,NA,NA,"S71_77"
"Early","DFG2021","Alves",176,"Combined",NA,"S77_87",NA,"Combined_176_Early","Combined 176",NA,NA,404,NA,NA,"S77_87"
"Early","DFG2021","Alves",176,"Combined",NA,"TT_gLAI_50",NA,"Combined_176_Early","Combined 176",NA,NA,2183.82658451187,NA,NA,"TT_gLAI_50"
"Early","DFG2021","Alves",176,"Combined",NA,"TT_gLI_50",NA,"Combined_176_Early","Combined 176",NA,NA,2212.82689660119,NA,NA,"TT_gLI_50"
"Early","DFG2021","Alves",176,"Combined",NA,"TT_gSPAD_50",NA,"Combined_176_Early","Combined 176",NA,NA,2209.17941516881,NA,NA,"TT_gSPAD_50"
"Early","DFG2021","Alves",176,"Combined",NA,"TT55",NA,"Combined_176_Early","Combined 176",NA,NA,1578.97425982122,NA,NA,"TT55"
"Early","DFG2021","Alves",176,"Combined",NA,"TT59",NA,"Combined_176_Early","Combined 176",NA,NA,1666.42821602818,NA,NA,"TT59"
