"DayTime","y","m","d","DailyMean_Temperature","Acc_Temperature","Acc_Percipitation","Acc_Radiation","DailySum_Percipitation","DailySum_Radiation","sowing_date","DFG_year"
"2018-11-15",2018,11,15,4.99583333333333,194.791666666667,10.01,24860.2,0.12,1662.8,"Early","DFG2019"
"2018-11-16",2018,11,16,4.37916666666667,199.170833333333,10.04,26457.2,0.03,1597,"Early","DFG2019"
"2018-11-17",2018,11,17,1.56666666666667,200.7375,10.07,27787.3,0.03,1330.1,"Early","DFG2019"
"2018-11-18",2018,11,18,0.370833333333333,201.108333333333,10.19,28706.1,0.12,918.8,"Early","DFG2019"
"2018-11-19",2018,11,19,4.2875,205.395833333333,10.44,29223.1,0.25,517,"Early","DFG2019"
"2018-11-20",2018,11,20,2.15416666666667,207.55,10.89,29431.3,0.45,208.2,"Early","DFG2019"
"2018-11-21",2018,11,21,1.65,209.2,10.89,29807.7,0,376.4,"Early","DFG2019"
"2018-11-22",2018,11,22,1.50416666666667,210.704166666667,10.95,30023.6,0.06,215.9,"Early","DFG2019"
"2018-11-23",2018,11,23,2.61666666666667,213.320833333333,10.95,30576.6,0,553,"Early","DFG2019"
"2018-11-24",2018,11,24,0.879166666666667,214.2,12.11,30863.4,1.16,286.8,"Early","DFG2019"
"2018-11-25",2018,11,25,3.24583333333333,217.445833333333,16.15,31047.1,4.04,183.7,"Early","DFG2019"
"2018-11-26",2018,11,26,3.03333333333333,220.479166666667,16.15,31405,0,357.9,"Early","DFG2019"
"2018-11-27",2018,11,27,0.158333333333333,220.6375,16.15,32034.6,0,629.6,"Early","DFG2019"
"2018-11-28",2018,11,28,9.48676900924816e-18,220.6375,16.41,33019,0.26,984.4,"Early","DFG2019"
"2018-11-29",2018,11,29,5.725,226.3625,16.74,33292.3,0.33,273.3,"Early","DFG2019"
"2018-11-30",2018,11,30,6.57083333333333,232.933333333333,16.74,33716.3,0,424,"Early","DFG2019"
"2018-12-01",2018,12,1,7.54166666666667,240.475,16.8,34806.9,0.06,1090.6,"Early","DFG2019"
"2018-12-02",2018,12,2,10.0375,250.5125,22.37,34973.7,5.57,166.8,"Early","DFG2019"
"2018-12-03",2018,12,3,11.5625,262.075,25.5,35775.4,3.13,801.7,"Early","DFG2019"
"2018-12-04",2018,12,4,5.19583333333333,267.270833333333,27.01,36846,1.51,1070.6,"Early","DFG2019"
"2018-12-05",2018,12,5,2.97083333333333,270.241666666667,29.05,37828.8,2.04,982.8,"Early","DFG2019"
"2018-12-06",2018,12,6,8.1,278.341666666667,29.83,38098.4,0.78,269.6,"Early","DFG2019"
"2018-12-07",2018,12,7,10.8791666666667,289.220833333333,33.78,38245.2,3.95,146.8,"Early","DFG2019"
"2018-12-08",2018,12,8,7.4125,296.633333333333,35.36,38618.7,1.58,373.5,"Early","DFG2019"
"2018-12-09",2018,12,9,7.19166666666667,303.825,41.75,39012,6.39,393.3,"Early","DFG2019"
"2018-12-10",2018,12,10,4.54166666666667,308.366666666667,46.71,39474.6,4.96,462.6,"Early","DFG2019"
"2018-12-11",2018,12,11,4.39583333333333,312.7625,47.27,40359,0.56,884.4,"Early","DFG2019"
"2018-12-12",2018,12,12,3.20416666666667,315.966666666667,47.5,40827.2,0.23,468.2,"Early","DFG2019"
"2018-12-13",2018,12,13,1.74583333333333,317.7125,47.53,41035.5,0.03,208.3,"Early","DFG2019"
"2018-12-14",2018,12,14,0.641666666666667,318.354166666667,47.53,41460.7,0,425.2,"Early","DFG2019"
"2018-12-15",2018,12,15,0,318.354166666667,47.53,41633.8,0,173.1,"Early","DFG2019"
"2018-12-16",2018,12,16,0,318.354166666667,47.56,41948.4,0.03,314.6,"Early","DFG2019"
"2018-12-17",2018,12,17,3.17916666666667,321.533333333333,48.01,42428.2,0.45,479.8,"Early","DFG2019"
"2018-12-18",2018,12,18,4.78333333333333,326.316666666667,48.04,43016.9,0.03,588.7,"Early","DFG2019"
"2018-12-19",2018,12,19,4.34583333333333,330.6625,48.04,43354.2,0,337.3,"Early","DFG2019"
"2018-12-20",2018,12,20,5.99166666666667,336.654166666667,49.37,43713,1.33,358.8,"Early","DFG2019"
"2018-12-21",2018,12,21,6.75833333333333,343.4125,54.04,43789.9,4.67,76.9,"Early","DFG2019"
"2018-12-22",2018,12,22,7.49166666666667,350.904166666667,64.94,44072,10.9,282.1,"Early","DFG2019"
"2018-12-23",2018,12,23,6.82916666666667,357.733333333333,72.72,44325.9,7.78,253.9,"Early","DFG2019"
"2018-12-24",2018,12,24,3.5,361.233333333333,73.53,44861.2,0.81,535.3,"Early","DFG2019"
"2018-12-25",2018,12,25,5.24166666666667,366.475,73.53,45166.3,0,305.1,"Early","DFG2019"
"2018-12-26",2018,12,26,4.05,370.525,73.8,45254.8,0.27,88.5,"Early","DFG2019"
"2018-12-27",2018,12,27,3.89166666666667,374.416666666667,73.8,45896.9,0,642.1,"Early","DFG2019"
"2018-12-28",2018,12,28,4.43333333333333,378.85,73.86,46112.8,0.06,215.9,"Early","DFG2019"
"2018-12-29",2018,12,29,5.9875,384.8375,76.83,46639.1,2.97,526.3,"Early","DFG2019"
"2018-12-30",2018,12,30,7.15416666666667,391.991666666667,77.14,47015.7,0.31,376.6,"Early","DFG2019"
"2018-12-31",2018,12,31,7.79583333333333,399.7875,77.82,47295.1,0.68,279.4,"Early","DFG2019"
"2019-01-01",2019,1,1,6.75416666666667,406.541666666667,78.61,47793.7,0.79,498.6,"Early","DFG2019"
"2019-01-02",2019,1,2,2.46666666666667,409.008333333333,79.36,48959.7,0.75,1166,"Early","DFG2019"
"2019-01-03",2019,1,3,0.116666666666667,409.125,79.36,49651.3,0,691.6,"Early","DFG2019"
"2019-01-04",2019,1,4,2.75833333333333,411.883333333333,80.65,49891.2,1.29,239.9,"Early","DFG2019"
"2019-01-05",2019,1,5,7.0375,418.920833333333,83.52,50161.1,2.87,269.9,"Early","DFG2019"
"2019-01-06",2019,1,6,6.2,425.120833333333,84.08,50475.8,0.56,314.7,"Early","DFG2019"
"2019-01-07",2019,1,7,5.83333333333333,430.954166666667,86.64,50784.3,2.56,308.5,"Early","DFG2019"
"2019-01-08",2019,1,8,5.80416666666667,436.758333333333,92.52,51187.7,5.88,403.4,"Early","DFG2019"
"2019-01-09",2019,1,9,2.5,439.258333333333,92.64,51400.7,0.12,213,"Early","DFG2019"
"2019-01-10",2019,1,10,0.575,439.833333333333,93.32,51796.6,0.68,395.9,"Early","DFG2019"
"2019-01-11",2019,1,11,4.09166666666667,443.925,94.08,52032.9,0.76,236.3,"Early","DFG2019"
"2019-01-12",2019,1,12,6.01666666666667,449.941666666667,96.35,52269.8,2.27,236.9,"Early","DFG2019"
"2019-01-13",2019,1,13,7.375,457.316666666667,103.23,52540.7,6.88,270.9,"Early","DFG2019"
"2019-01-14",2019,1,14,3.14583333333333,460.4625,103.84,53255.3,0.61,714.6,"Early","DFG2019"
"2019-01-15",2019,1,15,4.84583333333333,465.308333333333,103.84,53568.3,0,313,"Early","DFG2019"
"2019-01-16",2019,1,16,5.95416666666667,471.2625,103.84,53887.1,0,318.8,"Early","DFG2019"
"2019-01-17",2019,1,17,3.66666666666667,474.929166666667,106.09,54491.7,2.25,604.6,"Early","DFG2019"
"2019-01-18",2019,1,18,0.175,475.104166666667,106.19,55931.2,0.1,1439.5,"Early","DFG2019"
"2019-01-19",2019,1,19,0,475.104166666667,106.19,57452.6,0,1521.4,"Early","DFG2019"
"2019-01-20",2019,1,20,0,475.104166666667,106.19,58047.3,0,594.7,"Early","DFG2019"
"2019-01-21",2019,1,21,0,475.104166666667,106.19,60011,0,1963.7,"Early","DFG2019"
"2019-01-22",2019,1,22,0,475.104166666667,106.19,61538.1,0,1527.1,"Early","DFG2019"
"2019-01-23",2019,1,23,0,475.104166666667,106.19,62536.2,0,998.1,"Early","DFG2019"
"2019-01-24",2019,1,24,0,475.104166666667,106.19,63342.9,0,806.7,"Early","DFG2019"
"2019-01-25",2019,1,25,0,475.104166666667,107.98,63910.2,1.79,567.3,"Early","DFG2019"
"2019-01-26",2019,1,26,4.225,479.329166666667,121.17,64143.4,13.19,233.2,"Early","DFG2019"
"2019-01-27",2019,1,27,4.91666666666667,484.245833333333,121.95,65041.8,0.78,898.4,"Early","DFG2019"
"2019-01-28",2019,1,28,2.32916666666667,486.575,123.59,65601.1,1.64,559.3,"Early","DFG2019"
"2019-01-29",2019,1,29,1.00416666666667,487.579166666667,123.81,66572.8,0.22,971.7,"Early","DFG2019"
"2019-01-30",2019,1,30,0,487.579166666667,123.81,67376.3,0,803.5,"Early","DFG2019"
"2019-01-31",2019,1,31,1.175,488.754166666667,123.81,69141.3,0,1765,"Early","DFG2019"
"2019-02-01",2019,2,1,0.216666666666667,488.970833333333,124.03,70219.8,0.22,1078.5,"Early","DFG2019"
"2019-02-02",2019,2,2,0.0125,488.983333333333,125.99,70590.7,1.96,370.9,"Early","DFG2019"
"2019-02-03",2019,2,3,0.704166666666667,489.6875,125.99,71782.3,0,1191.6,"Early","DFG2019"
"2019-02-04",2019,2,4,1.69583333333333,491.383333333333,125.99,73324.1,0,1541.8,"Early","DFG2019"
"2019-02-05",2019,2,5,2.7,494.083333333333,125.99,73702.9,0,378.8,"Early","DFG2019"
"2019-02-06",2019,2,6,4.00833333333333,498.091666666667,125.99,74739.8,0,1036.9,"Early","DFG2019"
"2019-02-07",2019,2,7,4.73333333333333,502.825,126.05,76076.8,0.06,1337,"Early","DFG2019"
"2019-02-08",2019,2,8,6.8625,509.6875,126.05,77161.4,0,1084.6,"Early","DFG2019"
"2019-02-09",2019,2,9,7.94166666666667,517.629166666667,127.32,78222,1.27,1060.6,"Early","DFG2019"
"2019-02-10",2019,2,10,6.9875,524.616666666667,134.55,78577.1,7.23,355.1,"Early","DFG2019"
"2019-02-11",2019,2,11,5.01666666666667,529.633333333333,135.41,79813.8,0.86,1236.7,"Early","DFG2019"
"2019-02-12",2019,2,12,4.27916666666667,533.9125,135.41,81361.2,0,1547.4,"Early","DFG2019"
"2019-02-13",2019,2,13,6.2875,540.2,135.41,81995.7,0,634.5,"Early","DFG2019"
"2019-02-14",2019,2,14,5.42916666666667,545.629166666667,135.41,84258.3,0,2262.6,"Early","DFG2019"
"2019-02-15",2019,2,15,6.92083333333333,552.55,135.41,86735.8,0,2477.5,"Early","DFG2019"
"2019-02-16",2019,2,16,8.64166666666667,561.191666666667,135.41,89312.4,0,2576.6,"Early","DFG2019"
"2019-02-17",2019,2,17,7.25833333333333,568.45,135.41,91666.1,0,2353.7,"Early","DFG2019"
"2019-02-18",2019,2,18,8.6,577.05,135.41,94271.9,0,2605.8,"Early","DFG2019"
"2019-02-19",2019,2,19,7.65833333333333,584.708333333333,136,95833.2,0.59,1561.3,"Early","DFG2019"
"2019-02-20",2019,2,20,6.95,591.658333333333,136,97506.4,0,1673.2,"Early","DFG2019"
"2019-02-21",2019,2,21,8.75833333333333,600.416666666667,136.53,98791.1,0.53,1284.7,"Early","DFG2019"
"2019-02-22",2019,2,22,5.65416666666667,606.070833333333,136.53,99443.9,0,652.8,"Early","DFG2019"
"2019-02-23",2019,2,23,2.99583333333333,609.066666666667,136.53,102264.4,0,2820.5,"Early","DFG2019"
"2019-02-24",2019,2,24,6.02916666666667,615.095833333333,136.53,105250.6,0,2986.2,"Early","DFG2019"
"2019-02-25",2019,2,25,6.78333333333333,621.879166666667,136.53,108244.8,0,2994.2,"Early","DFG2019"
"2019-02-26",2019,2,26,6.52083333333333,628.4,136.53,111347,0,3102.2,"Early","DFG2019"
"2019-02-27",2019,2,27,7.79166666666667,636.191666666667,136.53,114555.3,0,3208.3,"Early","DFG2019"
"2019-02-28",2019,2,28,8.40416666666667,644.595833333333,136.87,116711.7,0.34,2156.4,"Early","DFG2019"
"2019-03-01",2019,3,1,6.4875,651.083333333333,137.68,117237.6,0.81,525.9,"Early","DFG2019"
"2019-03-02",2019,3,2,5.99166666666667,657.075,137.68,118619.1,0,1381.5,"Early","DFG2019"
"2019-03-03",2019,3,3,10.4375,667.5125,137.94,119282.9,0.26,663.8,"Early","DFG2019"
"2019-03-04",2019,3,4,9.1875,676.7,140.08,121008.2,2.14,1725.3,"Early","DFG2019"
"2019-03-05",2019,3,5,5.82083333333333,682.520833333333,141.39,123122.5,1.31,2114.3,"Early","DFG2019"
"2019-03-06",2019,3,6,8.55416666666667,691.075,141.39,124743.4,0,1620.9,"Early","DFG2019"
"2019-03-07",2019,3,7,10.6208333333333,701.695833333333,142.24,127575.9,0.85,2832.5,"Early","DFG2019"
"2019-03-08",2019,3,8,7.20833333333333,708.904166666667,142.37,129323.1,0.13,1747.2,"Early","DFG2019"
"2019-03-09",2019,3,9,7.62083333333333,716.525,148.67,131180,6.3,1856.9,"Early","DFG2019"
"2019-03-10",2019,3,10,3.9625,720.4875,166.94,131799.7,18.27,619.7,"Early","DFG2019"
"2019-03-11",2019,3,11,3.5875,724.075,170.43,133793.6,3.49,1993.9,"Early","DFG2019"
"2019-03-12",2019,3,12,6.17916666666667,730.254166666667,170.46,135636.2,0.03,1842.6,"Early","DFG2019"
"2019-03-13",2019,3,13,6.00416666666667,736.258333333333,174.17,136774,3.71,1137.8,"Early","DFG2019"
"2019-03-14",2019,3,14,6.25416666666667,742.5125,181.82,137558.5,7.65,784.5,"Early","DFG2019"
"2019-03-15",2019,3,15,8.0125,750.525,182.17,138725.3,0.35,1166.8,"Early","DFG2019"
"2019-03-16",2019,3,16,8.0875,758.6125,184.91,139455.4,2.74,730.1,"Early","DFG2019"
"2019-03-17",2019,3,17,7.57916666666667,766.191666666667,185.9,141148.5,0.99,1693.1,"Early","DFG2019"
"2019-03-18",2019,3,18,4.69583333333333,770.8875,189.8,144054.3,3.9,2905.8,"Early","DFG2019"
"2019-03-19",2019,3,19,4.37916666666667,775.266666666667,189.8,147140.1,0,3085.8,"Early","DFG2019"
"2019-03-20",2019,3,20,6.92916666666667,782.195833333333,189.8,150138.2,0,2998.1,"Early","DFG2019"
"2019-03-21",2019,3,21,10.4958333333333,792.691666666667,189.8,153681.2,0,3543,"Early","DFG2019"
"2019-03-22",2019,3,22,10.4625,803.154166666667,189.83,157866.7,0.03,4185.5,"Early","DFG2019"
"2019-03-23",2019,3,23,8.3125,811.466666666667,189.86,159725.6,0.03,1858.9,"Early","DFG2019"
"2019-03-24",2019,3,24,5.05,816.516666666667,189.86,162651.5,0,2925.9,"Early","DFG2019"
"2019-03-25",2019,3,25,5.20833333333333,821.725,193.38,165064.6,3.52,2413.1,"Early","DFG2019"
"2019-03-26",2019,3,26,5.9,827.625,194.32,166817.6,0.94,1753,"Early","DFG2019"
"2019-03-27",2019,3,27,7.78333333333333,835.408333333333,194.32,169905.8,0,3088.2,"Early","DFG2019"
"2019-03-28",2019,3,28,9.98333333333333,845.391666666667,194.53,172710.9,0.21,2805.1,"Early","DFG2019"
"2019-03-29",2019,3,29,11.9333333333333,857.325,194.53,177581.7,0,4870.8,"Early","DFG2019"
"2019-03-30",2019,3,30,11.5166666666667,868.841666666667,194.53,182162.8,0,4581.1,"Early","DFG2019"
"2019-03-31",2019,3,31,7.8125,876.654166666667,194.53,185985.2,0,3822.4,"Early","DFG2019"
"2019-04-01",2019,4,1,5.88333333333333,882.5375,194.53,191465.4,0,5480.2,"Early","DFG2019"
"2019-04-02",2019,4,2,9.92083333333333,892.458333333333,195.48,195389,0.95,3923.6,"Early","DFG2019"
"2019-04-03",2019,4,3,10.0375,902.495833333333,203.55,197928.7,8.07,2539.7,"Early","DFG2019"
"2019-04-04",2019,4,4,7.38333333333333,909.879166666667,203.55,199301.2,0,1372.5,"Early","DFG2019"
"2019-04-05",2019,4,5,7.44166666666667,917.320833333333,203.55,200025.4,0,724.2,"Early","DFG2019"
"2019-04-06",2019,4,6,11.2916666666667,928.6125,203.55,204380.9,0,4355.5,"Early","DFG2019"
"2019-04-07",2019,4,7,12.4583333333333,941.070833333333,203.55,209649.2,0,5268.3,"Early","DFG2019"
"2019-04-08",2019,4,8,11.925,952.995833333333,203.55,215124.9,0,5475.7,"Early","DFG2019"
"2019-04-09",2019,4,9,6.8875,959.883333333333,203.55,219166.3,0,4041.4,"Early","DFG2019"
"2019-04-10",2019,4,10,5.325,965.208333333333,203.55,224315.6,0,5149.3,"Early","DFG2019"
"2019-04-11",2019,4,11,4.87083333333333,970.079166666667,203.55,227096.1,0,2780.5,"Early","DFG2019"
"2019-04-12",2019,4,12,3.19166666666667,973.270833333333,203.72,229163.7,0.17,2067.6,"Early","DFG2019"
"2019-04-13",2019,4,13,3,976.270833333333,206.87,231739.1,3.15,2575.4,"Early","DFG2019"
"2019-04-14",2019,4,14,3.37083333333333,979.641666666667,208.94,234099.9,2.07,2360.8,"Early","DFG2019"
"2019-04-15",2019,4,15,8.4,988.041666666667,208.94,240050,0,5950.1,"Early","DFG2019"
"2019-04-16",2019,4,16,9.27916666666667,997.320833333333,208.94,246154.1,0,6104.1,"Early","DFG2019"
"2019-04-17",2019,4,17,11.7833333333333,1009.10416666667,208.94,252396.7,0,6242.6,"Early","DFG2019"
"2019-04-18",2019,4,18,13.0625,1022.16666666667,208.94,258541.7,0,6145,"Early","DFG2019"
"2019-04-19",2019,4,19,14.8333333333333,1037,208.94,264777.7,0,6236,"Early","DFG2019"
"2019-04-20",2019,4,20,13.8375,1050.8375,208.94,271179.6,0,6401.9,"Early","DFG2019"
"2019-04-21",2019,4,21,13.4208333333333,1064.25833333333,208.94,277703.7,0,6524.1,"Early","DFG2019"
"2019-04-22",2019,4,22,14.1416666666667,1078.4,208.94,284447.4,0,6743.7,"Early","DFG2019"
"2019-04-23",2019,4,23,14.4375,1092.8375,208.94,290849.9,0,6402.5,"Early","DFG2019"
"2019-04-24",2019,4,24,17.1875,1110.025,210.32,296901.4,1.38,6051.5,"Early","DFG2019"
"2019-04-25",2019,4,25,16.4458333333333,1126.47083333333,210.32,302872.5,0,5971.1,"Early","DFG2019"
"2019-04-26",2019,4,26,11.6333333333333,1138.10416666667,217.97,305812.5,7.65,2940,"Early","DFG2019"
"2019-04-27",2019,4,27,10.1875,1148.29166666667,222.66,309933.4,4.69,4120.9,"Early","DFG2019"
"2019-04-28",2019,4,28,9.15,1157.44166666667,224.39,314547.7,1.73,4614.3,"Early","DFG2019"
"2019-04-29",2019,4,29,8.16666666666667,1165.60833333333,227,315909.1,2.61,1361.4,"Early","DFG2019"
"2019-04-30",2019,4,30,11.2041666666667,1176.8125,227.12,322509.2,0.12,6600.1,"Early","DFG2019"
"2019-05-01",2019,5,1,11.4583333333333,1188.27083333333,227.12,328817,0,6307.8,"Early","DFG2019"
"2019-05-02",2019,5,2,9.37916666666667,1197.65,227.8,330359.3,0.68,1542.3,"Early","DFG2019"
"2019-05-03",2019,5,3,7.86666666666667,1205.51666666667,228.3,334784.1,0.5,4424.8,"Early","DFG2019"
"2019-05-04",2019,5,4,5.34583333333333,1210.8625,228.82,340519.6,0.52,5735.5,"Early","DFG2019"
"2019-05-05",2019,5,5,5.74583333333333,1216.60833333333,228.82,345966.1,0,5446.5,"Early","DFG2019"
"2019-05-06",2019,5,6,6.575,1223.18333333333,231,350003.2,2.18,4037.1,"Early","DFG2019"
"2019-05-07",2019,5,7,7.90416666666667,1231.0875,231.1,355914.6,0.1,5911.4,"Early","DFG2019"
"2019-05-08",2019,5,8,9.9875,1241.075,235.57,359011.8,4.47,3097.2,"Early","DFG2019"
"2019-05-09",2019,5,9,12.2208333333333,1253.29583333333,235.96,363897.4,0.39,4885.6,"Early","DFG2019"
"2019-05-10",2019,5,10,11.1,1264.39583333333,237.61,367201.3,1.65,3303.9,"Early","DFG2019"
"2019-05-11",2019,5,11,8.975,1273.37083333333,238.15,369450.7,0.54,2249.4,"Early","DFG2019"
"2019-05-12",2019,5,12,8.7875,1282.15833333333,238.15,375998.6,0,6547.9,"Early","DFG2019"
"2019-05-13",2019,5,13,9.225,1291.38333333333,238.18,383915.8,0.03,7917.2,"Early","DFG2019"
"2019-05-14",2019,5,14,10.2375,1301.62083333333,238.18,390800.9,0,6885.1,"Early","DFG2019"
"2019-05-15",2019,5,15,10.3916666666667,1312.0125,238.21,396841.6,0.03,6040.7,"Early","DFG2019"
"2019-05-16",2019,5,16,8.59583333333333,1320.60833333333,241.92,397902.4,3.71,1060.8,"Early","DFG2019"
"2019-05-17",2019,5,17,11.4916666666667,1332.1,241.92,401538,0,3635.6,"Early","DFG2019"
"2019-05-18",2019,5,18,14.0291666666667,1346.12916666667,241.98,409116.8,0.06,7578.8,"Early","DFG2019"
"2019-05-19",2019,5,19,16.6416666666667,1362.77083333333,242.01,416028.6,0.03,6911.8,"Early","DFG2019"
"2019-05-20",2019,5,20,17.1958333333333,1379.96666666667,247.91,420816.8,5.9,4788.2,"Early","DFG2019"
"2019-05-21",2019,5,21,14.4583333333333,1394.425,248.96,422318.3,1.05,1501.5,"Early","DFG2019"
"2019-05-22",2019,5,22,12.0333333333333,1406.45833333333,248.96,425239.8,0,2921.5,"Early","DFG2019"
"2019-05-23",2019,5,23,14.2333333333333,1420.69166666667,248.96,432424.7,0,7184.9,"Early","DFG2019"
"2019-05-24",2019,5,24,15.8583333333333,1436.55,249.5,438341.4,0.54,5916.7,"Early","DFG2019"
"2019-05-25",2019,5,25,11.6541666666667,1448.20416666667,249.5,441920.1,0,3578.7,"Early","DFG2019"
"2019-05-26",2019,5,26,15.5791666666667,1463.78333333333,249.53,447091.1,0.03,5171,"Early","DFG2019"
"2019-05-27",2019,5,27,15.8083333333333,1479.59166666667,249.69,451432.2,0.16,4341.1,"Early","DFG2019"
"2019-05-28",2019,5,28,13.3291666666667,1492.92083333333,249.75,455603.2,0.06,4171,"Early","DFG2019"
"2019-05-29",2019,5,29,12.0625,1504.98333333333,249.75,462227.1,0,6623.9,"Early","DFG2019"
"2019-05-30",2019,5,30,14.5458333333333,1519.52916666667,249.75,465055.7,0,2828.6,"Early","DFG2019"
"2019-05-31",2019,5,31,17.9625,1537.49166666667,252.42,469418.8,2.67,4363.1,"Early","DFG2019"
"2019-06-01",2019,6,1,19.3125,1556.80416666667,252.42,477074.5,0,7655.7,"Early","DFG2019"
"2019-06-02",2019,6,2,22.2708333333333,1579.075,252.42,484680.6,0,7606.1,"Early","DFG2019"
"2019-06-03",2019,6,3,19.6708333333333,1598.74583333333,271.5,489093.4,19.08,4412.8,"Early","DFG2019"
"2019-06-04",2019,6,4,20.0708333333333,1618.81666666667,271.53,494814.2,0.03,5720.8,"Early","DFG2019"
"2019-06-05",2019,6,5,23.7125,1642.52916666667,271.74,501918.7,0.21,7104.5,"Early","DFG2019"
"2019-06-06",2019,6,6,16.1958333333333,1658.725,271.8,504478,0.06,2559.3,"Early","DFG2019"
"2019-06-07",2019,6,7,17.1875,1675.9125,281.59,512248.4,9.79,7770.4,"Early","DFG2019"
"2019-06-08",2019,6,8,15.0583333333333,1690.97083333333,282.15,519092.5,0.56,6844.1,"Early","DFG2019"
"2019-06-09",2019,6,9,17.2666666666667,1708.2375,282.15,526885.5,0,7793,"Early","DFG2019"
"2019-06-10",2019,6,10,20.5375,1728.775,282.15,533228.8,0,6343.3,"Early","DFG2019"
"2019-06-11",2019,6,11,18.0916666666667,1746.86666666667,291.13,537625.6,8.98,4396.8,"Early","DFG2019"
"2019-06-12",2019,6,12,16.5416666666667,1763.40833333333,294.09,539691.6,2.96,2066,"Early","DFG2019"
"2019-06-13",2019,6,13,17.8041666666667,1781.2125,294.12,546811.8,0.03,7120.2,"Early","DFG2019"
"2019-06-14",2019,6,14,20.9416666666667,1802.15416666667,294.12,553590.1,0,6778.3,"Early","DFG2019"
"2019-06-15",2019,6,15,19.5416666666667,1821.69583333333,311.08,558218.6,16.96,4628.5,"Early","DFG2019"
"2019-06-16",2019,6,16,16.825,1838.52083333333,311.42,561816.1,0.34,3597.5,"Early","DFG2019"
"2019-06-17",2019,6,17,19.8375,1858.35833333333,311.42,569399.3,0,7583.2,"Early","DFG2019"
"2019-06-18",2019,6,18,22.6541666666667,1881.0125,311.42,576624.6,0,7225.3,"Early","DFG2019"
"2019-06-19",2019,6,19,22.4083333333333,1903.42083333333,323.92,582678.7,12.5,6054.1,"Early","DFG2019"
"2019-06-20",2019,6,20,19.3708333333333,1922.79166666667,325.24,588498.3,1.32,5819.6,"Early","DFG2019"
"2019-06-21",2019,6,21,18.0708333333333,1940.8625,325.24,595418.9,0,6920.6,"Early","DFG2019"
"2019-06-22",2019,6,22,18.3,1959.1625,325.24,602993.7,0,7574.8,"Early","DFG2019"
"2019-06-23",2019,6,23,20.9625,1980.125,325.24,611184.4,0,8190.7,"Early","DFG2019"
"2019-06-24",2019,6,24,22.8916666666667,2003.01666666667,325.24,619166.7,0,7982.3,"Early","DFG2019"
"2019-06-25",2019,6,25,25.4416666666667,2028.45833333333,325.24,626839.8,0,7673.1,"Early","DFG2019"
"2019-06-26",2019,6,26,25.3458333333333,2053.80416666667,325.27,634283.1,0.03,7443.3,"Early","DFG2019"
"2019-06-27",2019,6,27,16.7916666666667,2070.59583333333,325.3,642410.9,0.03,8127.8,"Early","DFG2019"
"2019-06-28",2019,6,28,18.05,2088.64583333333,325.33,649749.1,0.03,7338.2,"Early","DFG2019"
"2019-06-29",2019,6,29,22.1583333333333,2110.80416666667,325.39,658105.4,0.06,8356.3,"Early","DFG2019"
